expId,staId,packetSize,width,band,perStaRateMbps,publishRate_pps,interval_sec
19,0,16384,160,5,10,76.2939,0.0131072
19,1,16384,160,5,10,76.2939,0.0131072
19,2,16384,160,5,10,76.2939,0.0131072
19,3,16384,160,5,10,76.2939,0.0131072
19,4,16384,160,5,10,76.2939,0.0131072
19,5,16384,160,5,10,76.2939,0.0131072
19,6,16384,160,5,10,76.2939,0.0131072
19,7,16384,160,5,10,76.2939,0.0131072
19,8,16384,160,5,10,76.2939,0.0131072
19,9,16384,160,5,10,76.2939,0.0131072
20,0,16384,160,6,10,76.2939,0.0131072
20,1,16384,160,6,10,76.2939,0.0131072
20,2,16384,160,6,10,76.2939,0.0131072
20,3,16384,160,6,10,76.2939,0.0131072
20,4,16384,160,6,10,76.2939,0.0131072
20,5,16384,160,6,10,76.2939,0.0131072
20,6,16384,160,6,10,76.2939,0.0131072
20,7,16384,160,6,10,76.2939,0.0131072
20,8,16384,160,6,10,76.2939,0.0131072
20,9,16384,160,6,10,76.2939,0.0131072
21,0,32768,80,5,10,38.147,0.0262144
21,1,32768,80,5,10,38.147,0.0262144
21,2,32768,80,5,10,38.147,0.0262144
21,3,32768,80,5,10,38.147,0.0262144
21,4,32768,80,5,10,38.147,0.0262144
21,5,32768,80,5,10,38.147,0.0262144
21,6,32768,80,5,10,38.147,0.0262144
21,7,32768,80,5,10,38.147,0.0262144
21,8,32768,80,5,10,38.147,0.0262144
21,9,32768,80,5,10,38.147,0.0262144
22,0,32768,80,6,10,38.147,0.0262144
22,1,32768,80,6,10,38.147,0.0262144
22,2,32768,80,6,10,38.147,0.0262144
22,3,32768,80,6,10,38.147,0.0262144
22,4,32768,80,6,10,38.147,0.0262144
22,5,32768,80,6,10,38.147,0.0262144
22,6,32768,80,6,10,38.147,0.0262144
22,7,32768,80,6,10,38.147,0.0262144
22,8,32768,80,6,10,38.147,0.0262144
22,9,32768,80,6,10,38.147,0.0262144
23,0,32768,160,5,10,38.147,0.0262144
23,1,32768,160,5,10,38.147,0.0262144
23,2,32768,160,5,10,38.147,0.0262144
23,3,32768,160,5,10,38.147,0.0262144
23,4,32768,160,5,10,38.147,0.0262144
23,5,32768,160,5,10,38.147,0.0262144
23,6,32768,160,5,10,38.147,0.0262144
23,7,32768,160,5,10,38.147,0.0262144
23,8,32768,160,5,10,38.147,0.0262144
23,9,32768,160,5,10,38.147,0.0262144
24,0,32768,160,6,10,38.147,0.0262144
24,1,32768,160,6,10,38.147,0.0262144
24,2,32768,160,6,10,38.147,0.0262144
24,3,32768,160,6,10,38.147,0.0262144
24,4,32768,160,6,10,38.147,0.0262144
24,5,32768,160,6,10,38.147,0.0262144
24,6,32768,160,6,10,38.147,0.0262144
24,7,32768,160,6,10,38.147,0.0262144
24,8,32768,160,6,10,38.147,0.0262144
24,9,32768,160,6,10,38.147,0.0262144
25,0,65507,80,5,10,19.0819,0.0524056
25,1,65507,80,5,10,19.0819,0.0524056
25,2,65507,80,5,10,19.0819,0.0524056
25,3,65507,80,5,10,19.0819,0.0524056
25,4,65507,80,5,10,19.0819,0.0524056
25,5,65507,80,5,10,19.0819,0.0524056
25,6,65507,80,5,10,19.0819,0.0524056
25,7,65507,80,5,10,19.0819,0.0524056
25,8,65507,80,5,10,19.0819,0.0524056
25,9,65507,80,5,10,19.0819,0.0524056
26,0,65507,80,6,10,19.0819,0.0524056
